item_id,length,f_hi_conf_frac,f_mean_conf,f_entropy,f_low_conf_frac,oracle_uncertainty_score
ACC00078,128,0.20,45.0,1.20,0.70,12.0
ACC00079,129,0.80,80.0,0.40,0.20,7.0
ACC00080,130,0.80,80.0,0.40,0.20,7.0
ACC00081,131,0.20,45.0,1.20,0.70,12.0
ACC00082,132,0.80,80.0,0.40,0.20,7.0
ACC00083,133,0.80,80.0,0.40,0.20,7.0
ACC00084,134,0.20,45.0,1.20,0.70,12.0
ACC00085,135,0.80,80.0,0.40,0.20,7.0
ACC00086,136,0.80,80.0,0.40,0.20,7.0
ACC00087,137,0.20,45.0,1.20,0.70,12.0
ACC00088,138,0.80,80.0,0.40,0.20,7.0
ACC00089,139,0.80,80.0,0.40,0.20,7.0
ACC00090,140,0.20,45.0,1.20,0.70,12.0
ACC00091,141,0.80,80.0,0.40,0.20,7.0
ACC00092,142,0.80,80.0,0.40,0.20,7.0
ACC00093,143,0.20,45.0,1.20,0.70,12.0
ACC00094,144,0.80,80.0,0.40,0.20,7.0
ACC00095,145,0.80,80.0,0.40,0.20,7.0
ACC00096,146,0.20,45.0,1.20,0.70,12.0
ACC00097,147,0.80,80.0,0.40,0.20,7.0
ACC00098,148,0.80,80.0,0.40,0.20,7.0
ACC00099,149,0.20,45.0,1.20,0.70,12.0
ACC00100,150,0.80,80.0,0.40,0.20,7.0
ACC00101,151,0.80,80.0,0.40,0.20,7.0
ACC00102,152,0.20,45.0,1.20,0.70,12.0
ACC00103,153,0.80,80.0,0.40,0.20,7.0
ACC00104,154,0.80,80.0,0.40,0.20,7.0
ACC00105,155,0.20,45.0,1.20,0.70,12.0
ACC00106,156,0.80,80.0,0.40,0.20,7.0
ACC00107,157,0.80,80.0,0.40,0.20,7.0
ACC00108,158,0.20,45.0,1.20,0.70,12.0
ACC00109,159,0.80,80.0,0.40,0.20,7.0
ACC00110,160,0.80,80.0,0.40,0.20,7.0
ACC00111,161,0.20,45.0,1.20,0.70,12.0
ACC00112,162,0.80,80.0,0.40,0.20,7.0
ACC00113,163,0.80,80.0,0.40,0.20,7.0
ACC00114,164,0.20,45.0,1.20,0.70,12.0
ACC00115,165,0.80,80.0,0.40,0.20,7.0
ACC00116,166,0.80,80.0,0.40,0.20,7.0
ACC00117,167,0.20,45.0,1.20,0.70,12.0
ACC00118,168,0.80,80.0,0.40,0.20,7.0
ACC00119,169,0.80,80.0,0.40,0.20,7.0
ACC00120,170,0.20,45.0,1.20,0.70,12.0

